,ID,name,name:en,landuse,addr:province,addr:city,addr:district,description,type,total,brownfield,commercial,construction,farmland,forest,grass,industrial,residential,retail,NTL,Over illumination,Tresspass,Clutter,geometry,brownfield_mean_distance,brownfield_mean_NTL,commercial_mean_distance,commercial_mean_NTL,construction_mean_distance,construction_mean_NTL,farmland_mean_distance,farmland_mean_NTL,forest_mean_distance,forest_mean_NTL,grass_mean_distance,grass_mean_NTL,industrial_mean_distance,industrial_mean_NTL,residential_mean_distance,residential_mean_NTL,retail_mean_distance,retail_mean_NTL,Over_illumination,centroid
10,10,嘉悦名都名校一号,,residential,,,,,,12.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,30.520000457763672,290.0950012207031,0.0385983438567794,0.0030597145229276,"POLYGON ((113.0830825 22.6312326, 113.0829918 22.6281928, 113.0832026 22.6280328, 113.0862187 22.6279675, 113.0864412 22.6281334, 113.0865176 22.6307321, 113.0859202 22.6312245, 113.0830825 22.6312326))",,,1279.4896248778828,20.310001,,,,,2373.8662508610996,26.82,,,,,1852.7853911422158,24.47937525,,,290.09500399999996,POINT (113.08474377490795 22.629598932812257)
11,11,东堤湾花园,,residential,,,,,,46.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,35.0,0.0,28.23500061035156,1241.030029296875,0.1705041776996179,0.0021510513283284,"POLYGON ((113.0969275 22.5915772, 113.0987884 22.5910789, 113.0974728 22.5881253, 113.097158 22.5876166, 113.0963203 22.5878658, 113.0963203 22.5882499, 113.096444 22.5892829, 113.0968319 22.5901342, 113.0969275 22.5915772))",,,2941.2270081842494,31.08,,,2558.461143418239,20.145,1846.5279282910196,10.62,2337.1550220107924,29.404999,,,1818.708494942609,27.02214268571429,,,1241.029988,POINT (113.09737387527534 22.58970093062045)
12,12,华泰花园,,residential,,,,,,32.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,22.0,0.0,20.93000030517578,885.0849609375,0.085487423031865,0.0016104907622261,"POLYGON ((113.0687144 22.582564, 113.0686996 22.5825089, 113.0694173 22.5816647, 113.0701908 22.5820965, 113.0699611 22.5829533, 113.0692448 22.5828226, 113.0687464 22.5826254, 113.0687144 22.582564))",,,2542.387279795197,31.02,462.3282688264654,20.93,,,,,2475.815947279303,29.404999,,,2120.8222022246136,27.260227045454545,,,885.084989,POINT (113.06950696227591 22.58236207842216)
13,13,天南怡苑,,residential,,,,,,44.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,33.0,0.0,27.665000915527344,1172.719970703125,0.177313377683433,0.0019649885124165,"POLYGON ((113.0987022 22.6066988, 113.0985801 22.6056977, 113.0986644 22.6055315, 113.0988831 22.605413, 113.1001201 22.6052396, 113.1003874 22.6065003, 113.0987022 22.6066988))",,,2915.6895246926956,21.065000333333334,,,604.2293262581097,20.145,,,2437.0765686036343,29.404999,,,1366.1456153536046,27.04969681818182,,,1172.7199910000002,POINT (113.09945567754043 22.605987307574768)
14,14,汇景湾华庭,,residential,,,,,,23.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,19.0,0.0,41.560001373291016,500.8999938964844,0.0540508196707096,0.0024095709445466,"POLYGON ((113.0592741 22.5741603, 113.0596557 22.5725377, 113.059441 22.5711061, 113.061381 22.5714218, 113.0611743 22.5744759, 113.0592741 22.5741603))",,,1922.7305627450426,21.945,1302.9736169173739,20.93,,,,,3005.8929347947746,15.3874985,,,2074.7924629047284,22.486841736842106,,,500.89998999999995,POINT (113.06038861636202 22.572800927337678)
15,15,珠江帝景湾,,residential,,,,,,34.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,23.0,0.0,27.595001220703125,956.2749633789062,0.1270768783015086,0.0016785940581256,"POLYGON ((113.069758 22.5950734, 113.0692295 22.5945648, 113.0688022 22.5936616, 113.0683074 22.5930906, 113.0666883 22.592665, 113.0675091 22.5914088, 113.0682287 22.5912739, 113.0702864 22.5923535, 113.0702977 22.5937343, 113.0705001 22.5942533, 113.0701403 22.5952084, 113.069758 22.5950734))",,,1470.672651422683,31.049999999999997,1810.372682748764,20.93,,,,,1590.9220204816017,29.404999,,,1960.2857648153608,27.81891295652174,,,956.2749920000001,POINT (113.06894420379625 22.592940547182877)
16,16,良化新村西,,residential,,,,,,47.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,37.0,0.0,20.145000457763672,1299.8199462890625,0.2151363375481874,0.0019175272816726,"POLYGON ((113.0941747 22.6102457, 113.0941878 22.6064707, 113.0944864 22.6059777, 113.0980288 22.6055002, 113.0983337 22.6057238, 113.098675 22.6089609, 113.0984035 22.6093312, 113.0981403 22.6094608, 113.0976659 22.6095961, 113.0966789 22.6098982, 113.0945432 22.6105798, 113.0942457 22.6105005, 113.0941747 22.6102457))",,,2438.222026378084,25.6950005,,,235.1056412187118,20.145,,,2210.3530280954583,29.404999,,,1527.5613903206963,27.879594459459465,,,1299.8199909999998,POINT (113.09628236826005 22.607912227385228)
17,17,蓬江·玉圭园,,residential,,,,,,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,26.799999237060547,430.5049743652344,0.0457947107446311,0.0023225881119353,"POLYGON ((113.0562974 22.5689474, 113.0561512 22.5705932, 113.0555384 22.5712369, 113.055014 22.5714451, 113.0547208 22.5712936, 113.0542554 22.5713062, 113.0538083 22.5712582, 113.0539273 22.5705928, 113.0543703 22.5697976, 113.0530203 22.5701422, 113.0529091 22.5698381, 113.0562974 22.5689474))",,,1904.2075602923549,21.945,2017.363484980471,20.93,,,,,1945.883757960299,10.924999,,,2171.9616144554457,22.159117294117646,,,430.50499299999996,POINT (113.05498570696398 22.570214635974384)
18,18,裕景花园,,residential,,,,,,47.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,36.0,0.0,27.665000915527344,1269.31494140625,0.1660674178148269,0.001963733742812,"POLYGON ((113.0989383 22.6088422, 113.098815 22.6077497, 113.1000923 22.6076193, 113.0996827 22.6084642, 113.0997873 22.6088559, 113.0992875 22.6090329, 113.0989383 22.6088422))",,,2806.7846956567814,21.065000333333334,,,404.00401201830596,20.145,,,2548.4542843692793,29.404999,,,1625.5667779539324,27.478749861111115,,,1269.314991,POINT (113.09936949077924 22.608264275730107)
19,19,金怡居,,residential,,,,,,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,38.834999084472656,438.6350402832031,0.0525337091923574,0.0024146556347921,"POLYGON ((113.0614128 22.5722955, 113.0614685 22.5714365, 113.0631938 22.5717375, 113.0630825 22.5723248, 113.0614128 22.5722955))",,,1769.739616515495,21.945,1207.8963865588769,20.93,,,,,,,,,1916.5725484887807,21.98666638888889,,,438.63499499999995,POINT (113.06223824101598 22.571940510151467)
